drzava,leto,ime,N1,N2,N3,N4,N5,N6,empty,skupaj,absolutno_mesto,relativno_mesto,nagrada,spol
ARG,2020,Charo Morencos,3,0,0,4,0,0,,7,445,27.8,,ženska
ARG,2020,Matías Ezequiel Raimundez,7,0,0,7,7,1,,22,181,70.73,Bronze medal,moški
ARG,2020,Lucas Sandleris,7,2,0,3,0,0,,12,358,41.95,Honourable mention,moški
ARG,2020,Bruno Martín Ziger,7,7,3,7,7,0,,31,43,93.17,Gold medal,moški
ARG,2019,Julián Máximo Cabrera,7,7,0,6,2,0,,22,168,73.06,Bronze medal,moški
ARG,2019,Bruno Di Sanzo,7,0,0,0,4,0,,11,386,37.9,Honourable mention,moški
ARG,2019,Joaquín Inama,0,6,0,0,2,0,,8,444,28.55,,moški
ARG,2019,Laura Elena Massaccesi,6,0,0,5,0,0,,11,386,37.9,,ženska
ARG,2019,Matías Ezequiel Raimundez,7,2,1,7,4,0,,21,214,65.65,Bronze medal,moški
ARG,2019,Bruno Martín Ziger,7,2,0,6,7,0,,22,168,73.06,Bronze medal,moški
ARG,2018,Mateo Carranza Vélez,7,1,0,7,1,0,,16,271,54.47,Bronze medal,moški
ARG,2018,Bruno Di Sanzo,7,3,0,7,0,0,,17,250,58.01,Bronze medal,moški
ARG,2018,Emiliano Liwski,7,3,0,7,7,0,,24,147,75.38,Bronze medal,moški
ARG,2018,Julián Masliah,7,7,0,7,7,2,,30,49,91.91,Silver medal,moški
ARG,2018,Fausto Panero,1,0,0,4,0,0,,5,452,23.95,,moški
ARG,2018,Carlos Soto,7,2,0,7,7,0,,23,157,73.69,Bronze medal,moški
ARG,2017,Mateo Carranza Vélez,7,4,0,7,2,0,,20,103,83.39,Silver medal,moški
ARG,2017,Nicolás Cassia,7,3,0,7,0,0,,17,188,69.54,Bronze medal,moški
ARG,2017,Bruno Di Sanzo,7,0,0,7,0,0,,14,342,44.46,Honourable mention,moški
ARG,2017,Ian Fleschler,7,7,0,7,7,0,,28,14,97.88,Gold medal,moški
ARG,2017,Emiliano Liwski,5,0,0,7,0,0,,12,416,32.41,Honourable mention,moški
ARG,2017,Julián Masliah,7,6,0,7,0,0,,20,103,83.39,Silver medal,moški
ARG,2016,Nicolás Cassia,7,0,0,7,0,0,,14,312,48.25,Honourable mention,moški
ARG,2016,Carla Crucianelli,2,2,0,1,0,0,,5,481,20.13,,ženska
ARG,2016,Lucas de Amorin,7,1,1,7,0,0,,16,253,58.07,Bronze medal,moški
ARG,2016,Ian Fleschler,7,1,0,6,0,0,,14,312,48.25,Honourable mention,moški
ARG,2016,Agustín Marchionna,7,3,0,6,1,0,,17,224,62.9,Bronze medal,moški
ARG,2016,Carlos Soto,7,0,0,2,0,0,,9,409,32.11,Honourable mention,moški
ARG,2015,Carla Crucianelli,3,0,0,2,0,0,,5,449,22.22,,ženska
ARG,2015,Lucas de Amorin,6,2,0,7,1,0,,16,183,68.4,Bronze medal,moški
ARG,2015,Lisandro Filloy,7,1,0,3,1,0,,12,307,46.88,Honourable mention,moški
ARG,2015,Agustín Marchionna,4,1,0,7,1,0,,13,283,51.04,Honourable mention,moški
ARG,2015,Brian Pablo Morris Esquivel,7,0,0,3,1,0,,11,322,44.27,Honourable mention,moški
ARG,2015,Juan José Pérez Guerra,6,0,0,7,0,0,,13,283,51.04,Honourable mention,moški
ARG,2014,Lucas de Amorin,7,4,0,7,0,0,,18,238,57.6,Bronze medal,moški
ARG,2014,Francisco Galluccio,7,1,0,3,0,0,,11,375,33.09,Honourable mention,moški
ARG,2014,Agustín Marchionna,7,0,0,1,0,0,,8,421,24.87,Honourable mention,moški
ARG,2014,Agustín Mazzocato,7,0,0,7,0,0,,14,321,42.75,Honourable mention,moški
ARG,2014,Brian Pablo Morris Esquivel,6,5,0,7,2,0,,20,200,64.4,Bronze medal,moški
ARG,2014,Maximiliano Zitelli,7,0,0,3,0,0,,10,387,30.95,Honourable mention,moški
ARG,2013,Ilan Kleiman,4,0,0,0,0,0,,4,442,16.16,,moški
ARG,2013,Leandro Luo,0,4,0,0,0,0,,4,442,16.16,,moški
ARG,2013,Agustín Marchionna,0,0,0,0,0,0,,0,494,6.27,,moški
ARG,2013,Gastón Salgado,7,1,0,2,1,0,,11,306,42.02,Honourable mention,moški
ARG,2013,Alejo Salvador,1,3,0,0,1,0,,5,436,17.3,,moški
ARG,2013,Alejo Salvatore,7,3,0,7,5,0,,22,151,71.48,Bronze medal,moški
ARG,2012,Mariano Bonifacio,7,0,0,6,0,0,,13,277,49.45,Honourable mention,moški
ARG,2012,Alejandro Candioti,7,0,0,1,3,0,,11,316,42.31,Honourable mention,moški
ARG,2012,Ignacio Darago,7,0,0,7,3,0,,17,182,66.85,Bronze medal,moški
ARG,2012,Azul Fatalini,7,1,0,1,0,0,,9,373,31.87,Honourable mention,ženska
ARG,2012,Gastón Salgado,7,0,0,2,0,1,,10,350,36.08,Honourable mention,moški
ARG,2012,Bruno Staffa,7,0,0,7,0,0,,14,254,53.66,Bronze medal,moški
ARG,2011,Alejandro Candioti,3,0,0,7,2,0,,12,320,43.24,Honourable mention,moški
